Date,Price
2025-04-30,187.3939666748047
2025-04-30,187.51124572753906
2025-04-30,187.31578063964844
2025-04-30,186.19183349609375
2025-04-30,187.6480712890625
2025-04-30,187.4037322998047
2025-04-30,191.21534729003906
2025-04-30,193.02342224121094
2025-04-30,194.26463317871094
2025-04-30,194.22552490234375
2025-04-30,196.9425048828125
2025-04-30,197.52891540527344
2025-04-30,197.88076782226562
2025-04-30,200.14816284179688
2025-04-30,191.1469268798828
2025-04-30,194.9976348876953
2025-04-30,193.81504821777344
2025-04-30,192.45655822753906
2025-04-30,196.16067504882812
2025-04-30,194.97808837890625
2025-04-30,193.6195831298828
2025-04-30,194.8119354248047
2025-04-30,198.03712463378906
2025-04-30,197.24549865722656
2025-04-30,194.6457977294922
2025-04-30,192.78884887695312
2025-04-30,192.44677734375
2025-04-30,195.41787719726562
2025-04-30,195.0855712890625
2025-04-30,189.95457458496094
2025-04-30,187.188720703125
2025-04-30,189.2704620361328
2025-04-30,189.38772583007812
2025-04-30,190.56053161621094
2025-04-30,192.5347442626953
2025-04-30,194.16688537597656
2025-04-30,191.85061645507812
2025-04-30,194.37213134765625
2025-04-30,193.5804901123047
2025-04-30,192.95497131347656
2025-04-30,194.65554809570312
2025-04-30,197.67550659179688
2025-04-30,200.793212890625
2025-04-30,204.09661865234375
2025-04-30,203.95977783203125
2025-04-30,201.25721740722656
2025-04-30,201.6306610107422
2025-04-30,204.04823303222656
2025-04-30,204.2152862548828
2025-04-30,203.87132263183594
2025-04-30,201.40463256835938
2025-04-30,206.42648315429688
2025-04-30,209.9348907470703
2025-04-30,213.12881469726562
2025-04-30,206.357666015625
2025-04-30,206.1611328125
2025-04-30,206.65249633789062
2025-04-30,206.70162963867188
2025-04-30,204.9916534423828
2025-04-30,205.07028198242188
2025-04-30,208.5786895751953
2025-04-30,207.21267700195312
2025-04-30,211.47781372070312
2025-04-30,209.1290283203125
2025-04-30,204.37254333496094
2025-04-30,195.70468139648438
2025-04-30,191.53781127929688
2025-04-30,196.88397216796875
2025-04-30,196.94293212890625
2025-04-30,200.53981018066406
2025-04-30,202.24978637695312
2025-04-30,202.63307189941406
2025-04-30,204.35287475585938
2025-04-30,206.6132049560547
2025-04-30,207.90060424804688
2025-04-30,210.2788543701172
2025-04-30,211.7333221435547
2025-04-30,210.8193817138672
2025-04-30,210.8979949951172
2025-04-30,212.89297485351562
2025-04-30,214.54397583007812
2025-04-30,215.38914489746094
2025-04-30,216.38172912597656
2025-04-30,217.4725799560547
2025-04-30,218.37672424316406
2025-04-30,220.92202758789062
2025-04-30,216.49964904785156
2025-04-30,215.54638671875
2025-04-30,213.87571716308594
2025-04-30,208.79490661621094
2025-04-30,213.06985473632812
2025-04-30,202.01393127441406
2025-04-30,203.65512084960938
2025-04-30,203.03598022460938
2025-04-30,200.79531860351562
2025-04-30,204.2742462158203
2025-04-30,205.64027404785156
2025-04-30,203.94993591308594
2025-04-30,206.8490447998047
2025-04-30,207.4485321044922
2025-04-30,207.79249572753906
2025-04-30,207.9398956298828
2025-04-30,206.56407165527344
2025-04-30,206.1611328125
2025-04-30,206.8686981201172
2025-04-30,207.22250366210938
2025-04-30,203.46839904785156
2025-04-30,203.71408081054688
2025-04-30,201.6896209716797
2025-04-30,208.84832763671875
2025-04-30,208.5615692138672
2025-04-30,208.38360595703125
2025-04-30,211.02362060546875
2025-04-30,210.45013427734375
2025-04-30,219.7940216064453
2025-04-30,218.9931182861328
2025-04-30,219.89291381835938
2025-04-30,221.12887573242188
2025-04-30,221.9001007080078
2025-04-30,222.8394317626953
2025-04-30,220.4960479736328
2025-04-30,221.6034698486328
2025-04-30,220.90145874023438
2025-04-30,222.4538116455078
2025-04-30,219.8137969970703
2025-04-30,222.9679718017578
2025-04-30,220.3971710205078
2025-04-30,221.8902130126953
2025-04-30,219.4281768798828
2025-04-30,220.4367218017578
2025-04-30,217.31219482421875
2025-04-30,219.00302124023438
2025-04-30,244.285888671875
2025-04-30,233.725830078125
2025-04-30,234.31907653808594
2025-04-30,236.60313415527344
2025-04-30,236.8701171875
2025-04-30,238.4521484375
2025-04-30,239.1541748046875
2025-04-30,242.55555725097656
2025-04-30,242.2786865234375
2025-04-30,240.3604736328125
2025-04-30,238.076416015625
2025-04-30,242.01171875
2025-04-30,245.75917053222656
2025-04-30,247.47962951660156
2025-04-30,247.16322326660156
2025-04-30,246.9852294921875
2025-04-30,246.91603088378906
2025-04-30,243.4849853515625
2025-04-30,242.07106018066406
2025-04-30,240.6669921875
2025-04-30,242.7236328125
2025-04-30,244.58251953125
2025-04-30,241.0723876953125
2025-04-30,240.133056640625
2025-04-30,240.7955322265625
2025-04-30,238.81797790527344
2025-04-30,237.245849609375
2025-04-30,236.889892578125
2025-04-30,235.68359375
2025-04-30,227.78329467773438
2025-04-30,230.34422302246094
2025-04-30,234.93212890625
2025-04-30,235.7132568359375
2025-04-30,239.5892333984375
2025-04-30,240.409912109375
2025-04-30,238.4620361328125
2025-04-30,236.6328125
2025-04-30,237.0184326171875
2025-04-30,237.30517578125
2025-04-30,240.54833984375
2025-04-30,239.3755645751953
2025-04-30,241.6813507080078
2025-04-30,241.6416015625
2025-04-30,238.40155029296875
2025-04-30,242.71499633789062
2025-04-30,245.9550323486328
2025-04-30,250.80516052246094
2025-04-30,252.71340942382812
2025-04-30,257.573486328125
2025-04-30,261.4197692871094
2025-04-30,261.2309265136719
2025-04-30,264.3219299316406
2025-04-30,263.21868896484375
2025-04-30,264.2225341796875
2025-04-30,265.504638671875
2025-04-30,264.9480285644531
