Date,Price
2025-04-30,140.09561157226562
2025-04-30,146.4807586669922
2025-04-30,145.2599334716797
2025-04-30,144.63014221191406
2025-04-30,143.9615936279297
2025-04-30,144.09722900390625
2025-04-30,144.32009887695312
2025-04-30,145.19210815429688
2025-04-30,145.250244140625
2025-04-30,146.51954650878906
2025-04-30,146.67457580566406
2025-04-30,147.92445373535156
2025-04-30,149.4844207763672
2025-04-30,149.83322143554688
2025-04-30,147.7527618408203
2025-04-30,147.7234649658203
2025-04-30,149.930908203125
2025-04-30,146.21925354003906
2025-04-30,143.55271911621094
2025-04-30,141.02296447753906
2025-04-30,141.08157348632812
2025-04-30,141.9020233154297
2025-04-30,143.25970458984375
2025-04-30,144.30482482910156
2025-04-30,144.36343383789062
2025-04-30,142.57598876953125
2025-04-30,143.01551818847656
2025-04-30,143.66018676757812
2025-04-30,143.70901489257812
2025-04-30,143.3476104736328
2025-04-30,142.0290069580078
2025-04-30,142.0680694580078
2025-04-30,142.15597534179688
2025-04-30,142.5564422607422
2025-04-30,142.263427734375
2025-04-30,144.34388732910156
2025-04-30,145.2913360595703
2025-04-30,145.65272521972656
2025-04-30,143.7676239013672
2025-04-30,143.40621948242188
2025-04-30,142.40992736816406
2025-04-30,142.76156616210938
2025-04-30,143.03506469726562
2025-04-30,142.63458251953125
2025-04-30,142.302490234375
2025-04-30,143.07412719726562
2025-04-30,142.0973663330078
2025-04-30,143.630859375
2025-04-30,145.95553588867188
2025-04-30,146.21925354003906
2025-04-30,146.3950653076172
2025-04-30,145.76995849609375
2025-04-30,147.49879455566406
2025-04-30,152.9392852783203
2025-04-30,151.80625915527344
2025-04-30,151.09324645996094
2025-04-30,150.65370178222656
2025-04-30,148.80764770507812
2025-04-30,152.64625549316406
2025-04-30,155.92813110351562
2025-04-30,156.90489196777344
2025-04-30,154.8732452392578
2025-04-30,157.57884216308594
2025-04-30,154.1797637939453
2025-04-30,157.0220947265625
2025-04-30,160.32350158691406
2025-04-30,157.50070190429688
2025-04-30,155.27371215820312
2025-04-30,155.20535278320312
2025-04-30,156.49464416503906
2025-04-30,156.8853302001953
2025-04-30,156.1625518798828
2025-04-30,154.7071990966797
2025-04-30,154.79510498046875
2025-04-30,155.3909149169922
2025-04-30,155.6839599609375
2025-04-30,155.9183807373047
2025-04-30,156.43605041503906
2025-04-30,157.676513671875
2025-04-30,158.57513427734375
2025-04-30,160.31373596191406
2025-04-30,160.78257751464844
2025-04-30,160.36923217773438
2025-04-30,161.32386779785156
2025-04-30,161.6289520263672
2025-04-30,163.23313903808594
2025-04-30,164.51255798339844
2025-04-30,164.70938110351562
2025-04-30,162.37692260742188
2025-04-30,161.77658081054688
2025-04-30,163.9712677001953
2025-04-30,164.7290802001953
2025-04-30,162.20960998535156
2025-04-30,162.03245544433594
2025-04-30,162.89852905273438
2025-04-30,164.34524536132812
2025-04-30,164.4239959716797
2025-04-30,163.5185546875
2025-04-30,162.20960998535156
2025-04-30,161.56007385253906
2025-04-30,160.63494873046875
2025-04-30,160.20191955566406
2025-04-30,158.05645751953125
2025-04-30,158.8339385986328
2025-04-30,158.84376525878906
2025-04-30,159.49331665039062
2025-04-30,159.4244384765625
2025-04-30,158.61741638183594
2025-04-30,157.95803833007812
2025-04-30,157.7513427734375
2025-04-30,157.00338745117188
2025-04-30,157.16085815429688
2025-04-30,158.10565185546875
2025-04-30,157.96786499023438
2025-04-30,158.90283203125
2025-04-30,159.04061889648438
2025-04-30,161.5010223388672
2025-04-30,161.67816162109375
2025-04-30,161.8651580810547
2025-04-30,162.50485229492188
2025-04-30,160.25112915039062
2025-04-30,160.86131286621094
2025-04-30,163.23313903808594
2025-04-30,161.07781982421875
2025-04-30,158.33201599121094
2025-04-30,159.04061889648438
2025-04-30,157.5545196533203
2025-04-30,158.06629943847656
2025-04-30,157.3281707763672
2025-04-30,157.59390258789062
2025-04-30,155.73382568359375
2025-04-30,155.8420867919922
2025-04-30,155.37953186035156
2025-04-30,154.24774169921875
2025-04-30,153.0076904296875
2025-04-30,152.58448791503906
2025-04-30,150.22251892089844
2025-04-30,150.81301879882812
2025-04-30,149.46470642089844
2025-04-30,151.56097412109375
2025-04-30,152.31878662109375
2025-04-30,150.57681274414062
2025-04-30,150.68507385253906
2025-04-30,153.03721618652344
2025-04-30,152.71243286132812
2025-04-30,153.31277465820312
2025-04-30,153.29295349121094
2025-04-30,154.16595458984375
2025-04-30,153.779052734375
2025-04-30,153.5707244873047
2025-04-30,151.1501007080078
2025-04-30,149.27511596679688
2025-04-30,148.33265686035156
2025-04-30,148.1243133544922
2025-04-30,148.41201782226562
2025-04-30,148.04495239257812
2025-04-30,145.47552490234375
2025-04-30,145.07870483398438
2025-04-30,145.45567321777344
2025-04-30,142.7076873779297
2025-04-30,145.24734497070312
2025-04-30,143.60052490234375
2025-04-30,142.4398193359375
2025-04-30,143.32275390625
2025-04-30,144.1164093017578
2025-04-30,144.69180297851562
2025-04-30,144.42393493652344
2025-04-30,143.8981475830078
2025-04-30,142.20172119140625
2025-04-30,143.4715576171875
2025-04-30,142.87632751464844
2025-04-30,143.04498291015625
2025-04-30,142.51919555664062
2025-04-30,145.0687713623047
2025-04-30,141.14022827148438
2025-04-30,140.931884765625
2025-04-30,143.32275390625
2025-04-30,143.60052490234375
2025-04-30,143.81878662109375
2025-04-30,146.5965576171875
2025-04-30,145.8624267578125
2025-04-30,146.97352600097656
2025-04-30,144.1164093017578
2025-04-30,145.47552490234375
2025-04-30,145.6540985107422
2025-04-30,151.67588806152344
2025-04-30,149.18582153320312
